step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
337,695440,5392,0.0036408305860551613,0.9375,0.9375,0.004262451511442009,0.875,0.875,,
338,697504,5408,0.0031569030295493994,0.9375,0.9375,,,,,
339,699568,5424,0.0029746264616367923,1.0,1.0,,,,,
340,701632,5440,0.0035127933276426345,0.9375,0.9375,,,,,
341,703696,5456,0.0031023138284716452,0.9375,0.9375,,,,,
342,705760,5472,0.0026660195285412355,1.0,1.0,,,,,
343,707824,5488,0.0037188839766473334,1.0,1.0,,,,,
344,709888,5504,0.0030828843210280793,1.0,1.0,,,,,
345,711952,5520,0.003941292705740869,0.875,0.875,0.0035182470581666047,0.9375,0.9375,,
346,714016,5536,0.0030595467958623407,1.0,1.0,,,,,
347,716080,5552,0.0025185099725740685,1.0,1.0,,,,,
348,718144,5568,0.002647550222294673,1.0,1.0,,,,,
349,720208,5584,0.0032472663662791836,0.9375,0.9375,,,,,
350,722272,5600,0.0038047361918189192,0.875,0.875,,,,,
351,724336,5616,0.003966516722397022,0.8125,0.8125,,,,,
352,726400,5632,0.0037201927130105536,0.8125,0.8125,,,,,
353,728464,5648,0.003871053145232982,0.8125,0.8125,0.0025209062668390325,1.0,1.0,,
354,730528,5664,0.003868828004927269,0.9375,0.9375,,,,,
355,732592,5680,0.0033115801242414892,0.9375,0.9375,,,,,
356,734656,5696,0.003502775006296639,0.875,0.875,,,,,
357,736720,5712,0.003520763273651542,0.875,0.875,,,,,
358,738784,5728,0.0027652325100590573,1.0,1.0,,,,,
359,740848,5744,0.002485581332203249,1.0,1.0,,,,,
360,742912,5760,0.002446288101915045,1.0,1.0,,,,,
361,744976,5776,0.002972772580104279,1.0,1.0,0.004353688256812394,0.875,0.875,,
362,747040,5792,0.005378728240999119,0.6875,0.6875,,,,,
363,749104,5808,0.0026880510490204725,1.0,1.0,,,,,
364,751168,5824,0.0033564524834654155,0.9375,0.9375,,,,,
365,753232,5840,0.004060779770031587,0.8125,0.8125,,,,,
366,755296,5856,0.0027755377442283064,1.0,1.0,,,,,
367,757360,5872,0.0029530316860269475,0.9375,0.9375,,,,,
368,759424,5888,0.003214431571070541,0.9375,0.9375,,,,,
369,761488,5904,0.004430973272867745,0.8125,0.8125,0.0032131983458635587,0.9375,0.9375,,
370,763552,5920,0.0033682567589260947,0.875,0.875,,,,,
371,765616,5936,0.0037047153702966865,0.9375,0.9375,,,,,
372,767680,5952,0.0028404481903086722,0.9375,0.9375,,,,,
373,769744,5968,0.0033350009938696774,0.875,0.875,,,,,
374,771808,5984,0.0037044279045564347,0.875,0.875,,,,,
375,773872,6000,0.003373539874216816,0.9375,0.9375,,,,,
376,775936,6016,0.0030389519833556116,1.0,1.0,,,,,
377,778000,6032,0.0029588065766580195,1.0,1.0,0.003553985136017213,0.875,0.875,,
378,780064,6048,0.0032012150120826303,0.9375,0.9375,,,,,
379,782128,6064,0.002760251013465888,1.0,1.0,,,,,
380,784192,6080,0.0036422343401977036,0.875,0.875,,,,,
381,786256,6096,0.0024841222965573885,1.0,1.0,,,,,
382,788320,6112,0.003395634286880062,0.875,0.875,,,,,
383,790384,6128,0.0038440308450772218,0.8125,0.8125,,,,,
384,792448,6144,0.004431283465120155,0.875,0.875,,,,,
385,794512,6160,0.004311808579597006,0.8125,0.8125,0.003142306985908731,0.9375,0.9375,,
386,796576,6176,0.0029082984711998614,0.9375,0.9375,,,,,
387,798640,6192,0.004082954040785153,0.8125,0.8125,,,,,
388,800704,6208,0.003062617247714598,0.9375,0.9375,,,,,
389,802768,6224,0.0032905370516742053,1.0,1.0,,,,,
390,804832,6240,0.0037030598048622626,0.9375,0.9375,,,,,
391,806896,6256,0.002985096250841712,1.0,1.0,,,,,
392,808960,6272,0.002477313166597336,1.0,1.0,,,,,
393,811024,6288,0.00430727348913261,0.8125,0.8125,0.004183820116990395,0.875,0.875,,
394,813088,6304,0.0038206043707558176,0.8125,0.8125,,,,,
395,815152,6320,0.0030452532809451005,1.0,1.0,,,,,
396,817216,6336,0.0036011963911342154,0.875,0.875,,,,,
397,819280,6352,0.00436793613599159,0.875,0.875,,,,,
398,821344,6368,0.002390878551342341,1.0,1.0,,,,,
399,823408,6384,0.005054784759164198,0.75,0.75,,,,,
400,825472,6400,0.0027338033157068165,1.0,1.0,,,,,
401,827536,6416,0.0024909798740050514,1.0,1.0,0.0036544978211159743,0.8125,0.8125,,
402,829600,6432,0.0033434901055688078,0.9375,0.9375,,,,,
403,831664,6448,0.002496644126553693,1.0,1.0,,,,,
404,833728,6464,0.0033770222884499227,0.9375,0.9375,,,,,
405,835792,6480,0.0031645572786929616,0.9375,0.9375,,,,,
406,837856,6496,0.0037841581751260553,0.9375,0.9375,,,,,
407,839920,6512,0.0035100642180346062,0.9375,0.9375,,,,,
408,841984,6528,0.003215100769776437,0.9375,0.9375,,,,,
